0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.765097597,1.302558795,2.000868418,-0.240127406,0.947514363,-0.080906805,-0.296037495,-0.635586369,0.333627684,1.321025515,1.445148306,1.330053503,-0.21272717,-0.12073641,-0.092964911,-0.130444389
-0.451364234,0.582372485,-0.330588887,-0.199755316,-0.913852232,-0.080906805,-0.296037495,-0.635586369,-0.58111847,-0.710543182,0.621883438,0.642590026,-0.21272717,-0.258485917,-0.292873909,-0.22318591
-0.451364234,-0.497906981,-0.142568137,-0.159479638,-0.913852232,-0.080906805,-0.296037495,0.907332531,-0.58111847,0.231243631,-0.671818499,-0.629217407,-0.21272717,0.517527015,-0.277496293,-0.159095305
-0.451364234,-0.858000136,-0.518609638,1.631884195,-0.913852232,-0.080906805,-0.296037495,0.907332531,-1.495864623,-0.172379289,-0.671818499,-0.801083276,-0.21272717,-0.614759513,-0.446650061,7.152334757
-1.667826064,-1.578186447,-1.408574523,-0.155382172,-0.913852232,-0.080906805,-0.296037495,2.450251432,-0.58111847,-1.127620199,-0.671818499,-0.83545645,-0.21272717,1.258201069,-0.723447135,-0.177735661
-0.451364234,0.222279329,-0.142568137,-0.279511283,0.947514363,-0.080906805,-0.296037495,-0.635586369,-0.58111847,0.231243631,-0.671818499,1.12381446,-0.21272717,1.339696851,-0.06220968,-0.369662282
0.765097597,0.222279329,-0.380727754,-0.13125533,0.947514363,-0.080906805,-0.296037495,2.450251432,0.333627684,-0.024384218,-0.671818499,0.608216852,-0.21272717,-0.696255295,-0.446650061,-0.108198697
1.981559427,0.582372485,1.023160516,-0.266544009,0.947514363,-0.080906805,-0.296037495,0.907332531,0.333627684,0.54068787,0.974711238,-2.107263883,-0.21272717,0.454061274,-0.969488979,-0.435939101
-1.667826064,0.582372485,-0.882116422,-0.333067571,0.947514363,-0.080906805,-0.296037495,-0.635586369,0.333627684,-0.818175961,-0.224903284,1.261307156,-0.21272717,0.910581893,-1.061754671,-0.432563892
0.765097597,-0.497906981,-0.004686253,-0.218338529,-0.913852232,-0.080906805,-0.296037495,2.450251432,-0.58111847,-0.993079226,1.727410547,-0.972949146,-0.21272717,-0.063761483,-0.815712827,-0.252757337
-0.451364234,-1.578186447,-0.430866621,-0.154586782,-0.913852232,-0.080906805,-0.296037495,-0.635586369,-1.495864623,-0.078200607,-0.671818499,-0.560471059,-0.21272717,-0.502252062,-0.723447135,-0.176815149
-1.667826064,-0.858000136,-0.957324722,-0.153020104,-0.913852232,-0.080906805,-0.296037495,-0.635586369,-0.58111847,-0.643272695,-0.671818499,-0.147992973,-0.21272717,-0.810205149,-0.692691905,-0.123310426
-0.451364234,0.582372485,0.195869214,0.119099829,-0.913852232,-0.080906805,1.063627349,-0.635586369,-0.58111847,-0.481823527,1.209929772,-0.663590581,-0.21272717,0.154041404,1.660083227,-0.031259288
-0.451364234,0.582372485,0.434028831,-0.207853837,-0.913852232,-0.080906805,-0.296037495,-0.635586369,0.333627684,-0.212741581,1.186407919,0.23011194,-0.21272717,1.20050494,0.076188857,-0.202896305
-0.451364234,0.582372485,-0.606352655,-0.222074454,0.947514363,-0.080906805,-0.296037495,-0.635586369,-0.58111847,-0.26655797,-0.671818499,1.089441286,-0.21272717,-1.258071349,-0.169852987,-0.262269288
-0.451364234,-0.858000136,0.09559148,-0.159335022,-0.913852232,-0.080906805,-0.296037495,-0.635586369,-0.58111847,-0.939262837,1.82149796,-1.076068667,-0.21272717,0.607677217,-0.538915752,-0.179116428
0.765097597,0.582372485,1.223715983,0.526267414,0.947514363,-0.080906805,-0.296037495,-0.635586369,1.248373838,1.697740241,-0.671818499,0.505097331,4.72648651,1.503409617,1.613950381,0.914911339
-1.667826064,-0.858000136,-1.38350509,-0.242441269,-0.913852232,-0.080906805,-0.296037495,0.907332531,-0.58111847,-1.27561527,-0.366034405,-1.591666275,-0.21272717,-0.158960095,-1.584593589,-0.290114757
